item_name,price,last_scanned
Wheat,0.2998,1775881045
Clear Synthium Shard,3.4500,1775881069
Ancient's Potion,333.0000,1775881494
Wild Ginseng,29.9900,1775881496
Lumber,0.5398,1775881055
Golden Die,15.0000,1775881500
Ancient XP Boost Scroll,650.0000,1775881502
Ruby,1.9946,1775881115
Silver Ingot,0.8000,1775881131
Starlight Archeum Shard,22.0250,1775881103
Deluxe Sandwich,2.3099,1775881528
Rye,0.4100,1775881037
Rice,0.0549,1775880993
Beechnut,0.9800,1775881001
Stormraw Wave,3.3298,1775881532
Rosemary,0.1709,1775881035
Antler Coral,0.1956,1775880997
Anya Ingot,11.9980,1775881121
Book of Auroria,764.9998,1775881067
Saffron,0.3379,1775881039
Log,0.0993,1775881155
Chestnut,1.5599,1775881007
Diamond,26.9998,1775881111
Starlight Archeum Crystal,0.0750,1775881097
Sunlight Archeum Essence,19.4442,1775881107
Sport Fishing Lure,24.9995,1775881512
Narcissus,0.0800,1775880989
Cactus,0.2999,1775881005
Pepper,0.2022,1775881029
Celestial Weapon Anchoring Charm,1197.0000,1775881145
Amethyst,1.9499,1775881109
Shatigon's Sand,1.8592,1775881510
Lotus,0.1600,1775881019
Lucky Sunpoint,308.0000,1775881135
Greedy Goblin Gummies,3.9999,1775881516
Archeum Log,22.0050,1775881047
Red Regrade,45.0350,1775881147
Scroll: Resurrection,10.0000,1775881522
Assorted Ribs,6.7584,1775881490
Moonlight Archeum Essence,29.9996,1775881093
Chili Pepper,0.2888,1775881009
Superior Red Regrade Charm,1189.0000,1775881153
Coconut,0.9900,1775881011
Poppy,0.4998,1775881031
Thunderstruck Tree,1774.9000,1775881061
Moonlight Archeum Dust,1.0075,1775881091
Steel Ammo,0.3999,1775881540
Jellyfish Poison,0.0190,1775881534
Greedy Grimoire,80.0000,1775881536
Fabric,0.5600,1775881049
Misagon's Crystal,11.9998,1775881079
Blank Regrade Scroll,6.9800,1775881065
Archeum Ingot,17.9999,1775881123
Silver Regrade Charm,3777.0000,1775881151
Pearl,0.0600,1775881027
Mint,0.3400,1775881021
Resplendent Weapon Regrade Scroll,1398.0000,1775881149
Vocation Hastener Scroll,3.5000,1775881498
Azalea,0.0588,1775880981
Cornflower,0.1500,1775881013
Sapphire,1.2947,1775881117
Dragon Essence Stabilizer,15.5000,1775881075
Turmeric,0.5899,1775881041
Bean,0.7498,1775880999
Cursed Armor Piece,240.2000,1775881071
Onyx Archeum Essence,2.8945,1775881095
Gold Ingot,2.9994,1775881127
Thunderstruck Log,475.0000,1775881059
Peanut,0.1583,1775881025
Oats,0.5499,1775881023
Quinoa,0.0987,1775881033
Chum Bucket,7.9800,1775881526
Starshard Ingot,5.5000,1775881133
Mysterious Garden Powder,3.5098,1775881081
Blueberry,0.4746,1775881003
Ayanad Weaponsmithing Scroll,400.0000,1775881143
Corn,0.1317,1775880985
Vanilla,0.1786,1775881043
Moonpoint,1.0000,1775881137
Eco-Friendly Fuel,1.9999,1775881542
Flaming Log,25.4489,1775881051
Clover,0.0800,1775880983
Goblet of Honor,16.0100,1775881548
Rose,0.0800,1775880995
Starlight Archeum Essence,99.9998,1775881101
Faint Memory,3.1250,1775881506
Sunlight Archeum Crystal,3.8900,1775881105
Glowing Prism,0.1599,1775881077
Red Dragon Spinal Ridge,88.0000,1775881083
Iron Ingot,1.0000,1775881129
Copper Ingot,3.0030,1775881125
Emerald,1.9993,1775881113
Lily,0.1000,1775881017
Starpoint,9.0000,1775881139
Alluvion Love,3.1799,1775881518
Sparkling Shell Dust,0.1803,1775881085
Raw Stone,0.0108,1775531393
Hearty Soup,1.8044,1775881514
Natural Rubber,50.4440,1775881057
Green Coral,0.7475,1775880987
War Drum,5250.0000,1775881520
Moonlight Archeum Crystal,5.7500,1775881089
Starlight Archeum Dust,6.4899,1775881099
Dawn Lake Light Essence,2.6100,1775881073
Cultivated Ginseng,0.1995,1775881015
Hereafter Stone,0.3790,1775881530
Topaz,0.9899,1775881119
Leather,0.5700,1775881053
Tax Certificate,1.8800,1775881504
Bait Worm,0.0689,1775881538
Sunpoint,1.0000,1775881141
Acidic Poison Pouch,488.8000,1775881063
Ground Grain,0.0378,1775881544
Sweet Starlight,2.5000,1775881546
Red Coral,0.5045,1775880991
